route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811300-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124312,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811301-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124314,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811302-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124317,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811303-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124311,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811304-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124315,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811305-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124313,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811306-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124318,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811307-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124312,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811308-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124314,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811309-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124317,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811310-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124311,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811311-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124316,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811312-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124313,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811313-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124319,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811314-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124318,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811315-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124312,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811316-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124320,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811317-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124317,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811318-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124313,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811319-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124319,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811320-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124311,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811321-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124316,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811322-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124318,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811323-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124312,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811324-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124320,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811325-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124313,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811326-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124319,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811327-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124317,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811328-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124311,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811329-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124312,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811330-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124316,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811331-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124317,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811332-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124318,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811333-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124320,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811334-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124311,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811335-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124318,C210836,1
