route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,peak_offpeak,boarding_type
line:61,1900505,27_1197905,Balma-Gramont,0,11970,0,0
line:61,1900506,27_1197906,Balma-Gramont,0,11970,0,0
line:61,1900507,27_1197907,Balma-Gramont,0,11970,0,0
line:61,1900508,27_1197908,Balma-Gramont,0,11970,0,0
line:61,1900509,27_1197909,Balma-Gramont,0,11970,0,0
line:61,1900510,27_1197910,Balma-Gramont,0,11970,0,0
line:61,1900511,27_1197911,Balma-Gramont,0,11970,0,0
line:61,1900512,27_1197912,Balma-Gramont,0,11970,0,0
line:61,1900513,27_1197913,Balma-Gramont,0,11970,0,0
line:61,1900514,27_1197914,Balma-Gramont,0,11970,0,0
line:61,1900515,27_1197915,Balma-Gramont,0,11970,0,0
line:61,1900516,27_1197916,Balma-Gramont,0,11970,0,0
line:61,1900517,27_1197917,Balma-Gramont,0,11970,0,0
line:61,1900518,27_1197918,Balma-Gramont,0,11970,0,0
line:61,1900519,27_1197919,Balma-Gramont,0,11970,0,0
line:61,1900520,27_1197920,Balma-Gramont,0,11970,0,0
line:61,1900521,27_1197921,Balma-Gramont,0,11970,0,0
line:61,1900522,27_1197922,Balma-Gramont,0,11970,0,0
line:61,1900523,27_1197923,Balma-Gramont,0,11970,0,0
line:61,1900524,27_1197924,Balma-Gramont,0,11970,0,0
line:61,1900525,27_1197925,Balma-Gramont,0,11970,0,0
line:61,1900526,27_1197926,Balma-Gramont,0,11970,0,0
line:61,1900527,27_1197927,Balma-Gramont,0,11970,0,0
line:61,1900528,27_1197928,Balma-Gramont,0,11970,0,0
line:61,1900529,27_1197929,Balma-Gramont,0,11970,0,0
line:61,1900530,27_1197930,Balma-Gramont,0,11970,0,0
line:61,1900531,27_1197931,Basso Cambo,1,11971,0,0
line:61,1900532,27_1197932,Basso Cambo,1,11971,0,0
line:61,1900533,27_1197933,Basso Cambo,1,11971,0,0
line:61,1900534,27_1197934,Basso Cambo,1,11971,0,0
line:61,1900535,27_1197935,Basso Cambo,1,11971,0,0
line:61,1900536,27_1197936,Basso Cambo,1,11971,0,0
line:61,1900537,27_1197937,Basso Cambo,1,11971,0,0
line:61,1900538,27_1197938,Basso Cambo,1,11971,0,0
line:61,1900539,27_1197939,Basso Cambo,1,11971,0,0
line:61,1900540,27_1197940,Basso Cambo,1,11971,0,0
line:61,1900541,27_1197941,Basso Cambo,1,11971,0,0
line:61,1900542,27_1197942,Basso Cambo,1,11971,0,0
line:61,1900543,27_1197943,Basso Cambo,1,11971,0,0
line:61,1900544,27_1197944,Basso Cambo,1,11971,0,0
line:61,1900545,27_1197945,Basso Cambo,1,11971,0,0
line:61,1900546,27_1197946,Basso Cambo,1,11971,0,0
line:61,1900547,27_1197947,Basso Cambo,1,11971,0,0
line:61,1900548,27_1197948,Basso Cambo,1,11971,0,0
line:61,1900549,27_1197949,Basso Cambo,1,11971,0,0
line:61,1900550,27_1197950,Basso Cambo,1,11971,0,0
line:61,1900551,27_1197951,Basso Cambo,1,11971,0,0
line:61,1900552,27_1197952,Basso Cambo,1,11971,0,0
line:61,1900553,27_1197953,Basso Cambo,1,11971,0,0
line:61,1900554,27_1197954,Basso Cambo,1,11971,0,0
line:61,1900555,27_1197955,Basso Cambo,1,11971,0,0
line:61,1900556,27_1197956,Basso Cambo,1,11971,0,0
line:61,1900557,27_1197957,Basso Cambo,1,11971,0,0
line:61,1900558,27_1197958,Basso Cambo,1,11971,0,0
line:61,1900559,27_1197959,Basso Cambo,1,11971,0,0
line:61,1900560,27_1197960,Basso Cambo,1,11971,0,0
line:61,1900561,27_1197961,Basso Cambo,1,11971,0,0
line:61,1900562,27_1197962,Basso Cambo,1,11971,0,0
line:61,1900563,27_1197963,Basso Cambo,1,11971,0,0
line:61,1900564,27_1197964,Basso Cambo,1,11971,0,0
line:61,1900565,27_1197965,Basso Cambo,1,11971,0,0
line:61,1900566,27_1197966,Basso Cambo,1,11971,0,0
line:61,1900567,27_1197967,Basso Cambo,1,11971,0,0
line:61,1900568,27_1197968,Basso Cambo,1,11971,0,0
line:61,1900569,27_1197969,Basso Cambo,1,11971,0,0
line:61,1900570,27_1197970,Basso Cambo,1,11971,0,0
line:61,1900571,27_1197971,Basso Cambo,1,11971,0,0
line:61,1900572,27_1197972,Basso Cambo,1,11971,0,0
line:61,1900573,27_1197973,Basso Cambo,1,11971,0,0
line:61,1900574,27_1197974,Basso Cambo,1,11971,0,0
line:61,1900575,27_1197975,Basso Cambo,1,11971,0,0
line:61,1900576,27_1197976,Basso Cambo,1,11971,0,0
line:61,1900577,27_1197977,Basso Cambo,1,11971,0,0
line:61,1900578,27_1197978,Basso Cambo,1,11971,0,0
line:61,1900579,27_1197979,Basso Cambo,1,11971,0,0
line:61,1900580,27_1197980,Basso Cambo,1,11971,0,0
line:61,1900581,27_1197981,Basso Cambo,1,11971,0,0
line:61,1900582,27_1197982,Basso Cambo,1,11971,0,0
line:61,1900583,27_1197983,Basso Cambo,1,11971,0,0
line:61,1900584,27_1197984,Basso Cambo,1,11971,0,0
line:61,1900585,27_1197985,Basso Cambo,1,11971,0,0
line:61,1900586,27_1197986,Basso Cambo,1,11971,0,0
